"ME_MHCII_high_S1"	"ME_MHCII_high_S2"	"ME_MHCII_high_S3"	"ME_MHCII_high_S4"	"ME_MHCII_int_S1"	"ME_MHCII_int_S2"	"ME_MHCII_int_S3"	"ME_MHCII_int_S4"	"PM_S1_2_S4"	"PM_S2_1_S1"	"PM_S3_1_S2"	"PM_S4_1_S3"
"Lipt1"	32	23	18	34	36	55	44	34	73	99	119	64
"Lipt2"	183	104	63	102	105	149	90	120	144	109	234	109
"Litaf"	9531	7035	12105	8369	8524	11262	14683	9590	10330	10036	10713	10729
"Lix1"	85	123	116	135	236	364	401	303	3	7	9	2
"Lix1l"	16	19	21	26	23	28	18	27	12	14	2	17
"Lkaaear1"	0	0	0	0	0	0	0	0	0	0	0	0
"Llgl1"	1491	742	922	938	1206	1314	1252	1221	1310	1210	984	1283
"Llgl2"	161	62	144	176	127	121	202	103	136	168	87	96
"Llph"	746	616	750	709	597	728	614	658	1007	824	1283	735
"Lman1"	4091	3155	3223	3147	3855	3991	3224	3425	7112	6454	8293	6305
"Lman1l"	1	0	5	0	0	0	0	2	0	0	0	0
"Lman2"	10399	7541	7290	7772	8507	10740	8275	7778	10221	10214	11275	10251
"Lman2l"	1645	1122	1149	1171	1348	1690	1395	1380	1022	988	883	1142
"Lmbr1"	120	167	139	128	155	118	97	194	341	243	390	189
"Lmbr1l"	373	239	154	294	270	430	215	259	267	242	249	176
"Lmbrd1"	4798	4037	3976	4173	4701	5460	4447	5146	3755	3964	3240	3314
"Lmbrd2"	116	87	113	93	152	167	178	106	106	113	62	48
"Lmcd1"	0	7	30	39	6	30	5	6	0	0	0	0
"Lmf1"	954	585	615	748	720	996	715	840	741	878	638	654
"Lmf2"	3336	1882	1704	2344	2838	3016	2434	2491	2040	2219	1554	2090
"Lmln"	374	161	246	254	264	367	236	309	55	47	44	40
"Lmna"	3437	1601	3338	2751	2421	2220	3889	2790	2868	5447	5154	5356
"Lmnb1"	1266	614	836	1086	1004	492	649	644	1903	1258	1874	1182
"Lmnb2"	1004	378	489	840	518	475	372	578	1052	754	1169	816
"Lmntd2"	0	0	0	0	0	0	0	11	3	0	0	0
"Lmo1"	38	12	73	26	18	19	17	26	1	12	8	2
"Lmo2"	7367	4906	6146	5917	7122	8858	7782	8535	4434	2828	2254	2390
"Lmo3"	0	0	0	0	0	0	0	0	0	0	0	0
"Lmo4"	795	670	647	960	594	722	663	728	483	574	561	308
"Lmo7"	0	4	34	18	5	7	18	0	14	0	34	0
"Lmod1"	0	0	0	3	0	0	9	0	0	0	0	0
"Lmod2"	0	0	0	0	0	0	0	0	0	0	0	0
"Lmod3"	0	0	0	0	0	0	0	4	0	0	0	0
"Lmtk2"	217	99	153	208	44	64	35	37	437	705	350	739
"Lmtk3"	0	0	0	0	2	1	0	4	0	0	0	0
"Lmx1a"	0	1	9	0	0	0	7	0	0	0	0	0
"Lmx1b"	0	0	0	4	0	5	1	3	0	0	0	0
"Lncbate1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lnp"	873	587	516	673	699	832	545	669	507	610	636	445
"Lnpep"	1566	1213	999	1390	931	873	648	1059	1406	1015	798	959
"Lnx1"	58	49	20	119	52	84	74	82	70	67	80	76
"Lnx2"	609	321	370	375	427	436	385	331	380	361	501	395
"LOC100038947"	328	177	203	254	23	43	53	74	163	139	123	62
"LOC100040786"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100041034"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100043315"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100048884"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100049077"	15	2	0	0	2	0	0	5	2	4	4	0
"LOC100125594"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100502896"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100503496"	2	0	6	1	0	1	5	8	0	4	7	2
"LOC100504039"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100504703"	9	0	18	3	5	19	4	11	15	24	17	16
"LOC100505025"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100861615"	0	0	0	0	0	2	0	1	0	0	0	0
"LOC100861978"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100862015"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100862268"	0	17	6	0	4	3	0	0	0	0	0	0
"LOC101055749"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC101055863"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC102631757"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC102634401"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC102636514"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105245869"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC105246506"	10	9	15	7	5	2	10	10	7	14	1	3
"LOC106740"	29	43	10	64	47	19	3	26	23	19	38	2
"LOC432842"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC664787"	0	0	0	0	0	0	0	0	0	0	0	0
"LOC666331"	0	0	0	0	0	0	0	0	0	0	0	0
"Loh12cr1"	411	263	228	299	280	305	394	383	481	525	487	391
"Lonp1"	1325	717	1009	1087	1210	1495	1350	1334	1120	1034	1108	1154
"Lonp2"	2316	1695	1768	1804	2182	2384	1696	2311	2636	2244	2810	2073
"Lonrf1"	135	118	120	145	285	311	358	249	86	135	120	100
"Lonrf2"	17	0	0	44	37	0	0	2	0	0	0	0
"Lonrf3"	140	113	68	141	114	110	208	268	308	319	110	184
"Lor"	4	0	0	0	3	11	8	7	0	0	0	0
"Lox"	55	84	138	179	132	152	82	152	0	29	3	0
"Loxhd1"	0	0	0	0	0	0	0	0	0	0	0	0
"Loxl1"	58	98	73	31	51	66	60	50	0	0	0	0
"Loxl2"	53	80	57	81	39	28	28	47	98	165	157	130
"Loxl3"	530	367	285	403	374	452	311	360	62	14	30	27
"Loxl4"	16	16	8	8	26	11	37	11	7	9	20	8
"Lpar1"	194	204	240	234	50	32	57	18	1167	1054	896	831
"Lpar2"	0	1	0	7	0	5	0	1	0	0	0	0
"Lpar3"	0	0	0	0	0	0	0	0	0	0	0	8
"Lpar4"	0	1	1	25	15	0	14	3	0	0	1	1
"Lpar5"	468	403	235	410	279	451	163	312	1682	1761	1441	1988
"Lpar6"	3646	3964	2931	3040	3045	4553	2761	3479	427	487	453	182
"Lpcat1"	2124	1498	1378	1453	1569	1738	1156	1342	317	306	342	306
"Lpcat2"	11434	7461	8219	8792	6592	8595	6184	6973	5882	4722	3738	4764
"Lpcat2b"	0	0	0	0	0	0	0	0	0	0	0	0
"Lpcat3"	1449	1101	889	1007	1362	1524	1393	1201	1531	2176	1856	1591
"Lpcat4"	385	152	173	251	180	191	146	149	86	155	78	73
"Lpgat1"	1869	1356	1105	1634	1504	1433	1201	1708	1703	1853	1128	1904
"Lpin1"	2206	1751	1459	1818	2956	3049	2107	2844	680	823	468	653
"Lpin2"	2819	2138	2365	2190	2664	3970	3340	2946	1457	625	485	734
"Lpin3"	0	5	0	24	0	39	0	0	0	0	0	0
"Lpl"	12139	9849	14383	13712	5331	7493	9070	9955	21090	34103	31309	14385
"Lpo"	0	0	0	0	0	0	0	0	0	0	0	0
"Lpp"	581	687	591	828	727	587	670	630	1153	734	735	1111
"Lppos"	37	41	39	54	45	55	52	48	59	35	67	14
"Lppr1"	0	0	5	0	0	0	0	3	0	0	0	0
"Lppr2"	106	96	98	85	49	68	85	70	94	78	117	115
"Lppr3"	66	39	68	58	166	115	250	95	351	357	523	602
"Lppr4"	97	83	50	124	22	21	29	49	5	0	4	4
"Lppr5"	0	0	6	0	0	0	0	0	0	0	0	0
"Lpxn"	4502	2662	2836	3553	2834	3353	3212	3038	2847	1637	2239	1564
"Lrat"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrba"	115	78	31	138	57	91	70	109	115	73	181	67
"Lrch1"	2694	1933	2154	2100	2129	2077	2263	2061	995	1240	576	826
"Lrch2"	0	8	0	0	0	0	0	3	0	0	0	0
"Lrch3"	2386	1246	1271	1898	1819	1492	1774	1778	927	1047	922	993
"Lrch4"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrcol1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrfn1"	199	123	63	69	260	244	127	200	76	95	34	73
"Lrfn2"	0	0	0	0	0	0	6	1	0	0	0	0
"Lrfn3"	4	16	1	3	17	12	6	0	127	181	109	168
"Lrfn4"	6	11	33	32	26	45	4	10	6	19	3	13
"Lrfn5"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrg1"	23	4	3	42	12	30	0	15	14978	10592	19508	15462
"Lrguk"	2	0	0	0	3	0	20	0	0	0	0	0
"Lrif1"	282	389	356	345	290	425	294	495	589	454	373	291
"Lrig1"	70	1	13	76	25	30	53	44	5	10	15	8
"Lrig2"	1101	953	1096	1069	1069	1193	1146	1413	841	844	581	511
"Lrig3"	118	104	118	128	127	151	126	160	147	172	159	134
"Lrit1"	85	0	14	0	0	0	43	0	0	0	0	0
"Lrit2"	11	0	0	0	4	0	0	0	0	0	0	0
"Lrit3"	1	0	0	0	0	0	0	0	0	0	0	0
"Lrmp"	2537	1676	1905	2016	1666	2118	1649	2042	1977	1606	1667	1530
"Lrp1"	9199	7063	5438	7292	6041	6112	5282	6013	13604	17718	7111	18831
"Lrp10"	7192	4183	3857	4912	5950	7737	5446	5750	4471	5279	3519	5947
"Lrp11"	165	65	69	78	141	134	139	83	103	145	180	171
"Lrp12"	1479	1121	1305	1349	1659	1997	1517	1805	618	673	638	724
"Lrp1b"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrp2"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrp2bp"	2	0	0	1	1	0	0	5	0	4	15	5
"Lrp3"	39	13	9	73	23	8	30	8	5	0	0	1
"Lrp4"	69	49	34	49	40	80	56	33	56	42	18	18
"Lrp5"	425	298	250	224	446	477	412	465	307	326	254	263
"Lrp6"	3486	4290	3504	3466	5391	5861	5820	5531	1247	1565	720	1477
"Lrp8"	106	48	12	23	2	25	33	15	31	38	74	65
"Lrpap1"	5746	3492	3884	4116	5029	5695	4870	5115	7348	7258	7294	5717
"Lrpprc"	1497	1059	1202	1153	1356	1324	1372	1453	1799	1977	1916	1819
"Lrr1"	30	17	20	40	15	21	0	2	136	25	122	29
"Lrrc1"	28	57	79	23	22	28	37	54	76	40	60	102
"Lrrc10"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc10b"	0	0	0	0	0	0	17	0	0	0	0	0
"Lrrc14"	888	530	552	422	768	957	826	736	696	670	684	604
"Lrrc14b"	6	15	19	18	17	16	17	14	18	12	11	7
"Lrrc15"	0	0	0	0	11	0	0	0	0	0	0	0
"Lrrc16a"	244	195	190	303	274	200	266	372	80	58	25	47
"Lrrc16b"	16	0	0	0	0	0	0	2	3	0	0	0
"Lrrc17"	14	27	36	50	66	108	44	0	2	2	0	0
"Lrrc18"	8	3	17	2	8	20	8	15	12	0	0	13
"Lrrc19"	0	0	0	0	8	0	0	0	3	0	0	7
"Lrrc2"	5	22	4	20	6	9	11	19	10	12	21	3
"Lrrc20"	178	95	82	138	56	158	113	101	166	273	189	202
"Lrrc23"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc24"	10	6	3	11	21	8	6	2	4	7	0	2
"Lrrc25"	1735	877	1033	986	1181	1606	1206	1063	769	716	927	925
"Lrrc26"	0	0	0	6	0	0	0	0	0	0	0	0
"Lrrc27"	33	25	27	19	40	25	30	46	14	37	20	15
"Lrrc28"	185	278	223	228	314	191	161	214	209	134	104	169
"Lrrc29"	91	75	35	94	103	92	96	120	56	55	34	31
"Lrrc3"	178	168	149	126	74	265	134	167	12	1	3	10
"Lrrc30"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc31"	1	4	1	4	3	3	2	8	2	7	8	3
"Lrrc32"	46	36	51	99	44	69	0	7	179	164	115	196
"Lrrc34"	0	0	0	0	0	0	0	1	7	57	43	26
"Lrrc36"	11	4	7	5	0	8	0	23	18	12	2	5
"Lrrc38"	53	8	2	36	12	0	7	24	0	0	0	0
"Lrrc39"	14	15	25	15	45	20	30	28	45	37	31	43
"Lrrc3b"	0	0	0	2	0	0	0	0	0	0	0	0
"Lrrc4"	84	21	13	43	289	153	151	196	2	0	0	0
"Lrrc40"	1449	993	1234	1132	1011	1026	1065	1217	1352	947	1416	798
"Lrrc41"	2836	1701	1687	2046	2420	2970	2408	2564	1851	2020	2085	2069
"Lrrc42"	282	173	168	241	201	207	153	156	236	170	247	197
"Lrrc43"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc45"	469	329	341	533	625	760	642	727	631	555	448	473
"Lrrc46"	4	0	0	0	0	11	2	3	3	4	4	2
"Lrrc47"	1007	547	740	778	999	1096	749	790	781	880	625	817
"Lrrc48"	10	0	0	4	0	8	17	0	5	4	0	0
"Lrrc49"	175	191	238	167	146	305	100	172	148	235	290	156
"Lrrc4b"	0	0	0	0	4	0	0	0	0	0	0	0
"Lrrc4c"	0	0	0	18	1	13	0	0	0	0	0	0
"Lrrc51"	34	47	15	64	63	90	73	56	52	58	56	43
"Lrrc52"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc55"	4	5	9	6	3	0	0	3	0	0	0	0
"Lrrc56"	109	65	45	45	63	66	131	131	109	195	112	106
"Lrrc57"	940	709	772	786	1096	1237	1216	1192	1052	790	924	560
"Lrrc58"	4827	3985	3750	4397	4277	4160	3097	4501	3086	4084	2182	3142
"Lrrc59"	6195	3274	3794	3927	5152	4967	4638	4625	5482	5737	8208	6142
"Lrrc6"	1	0	0	0	0	2	0	0	0	0	0	0
"Lrrc61"	552	468	460	479	507	768	687	578	297	429	355	383
"Lrrc63"	5	0	0	2	3	0	2	0	0	0	0	0
"Lrrc66"	0	0	0	0	0	4	0	0	45	32	29	16
"Lrrc69"	0	9	0	0	0	0	0	0	0	0	0	0
"Lrrc7"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc71"	4	0	0	4	0	0	5	3	0	6	2	6
"Lrrc72"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc73"	11	4	0	0	0	4	0	2	0	0	7	0
"Lrrc74a"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrc74b"	0	1	0	4	0	5	0	0	0	0	0	0
"Lrrc75a"	389	308	290	227	277	371	167	224	94	109	109	56
"Lrrc75b"	1	1	1	1	6	6	2	0	1	2	3	0
"Lrrc8a"	307	286	259	163	365	414	370	505	175	212	71	144
"Lrrc8b"	168	108	67	108	111	123	95	143	475	509	486	462
"Lrrc8c"	1243	751	694	929	434	567	472	324	1046	1454	830	1286
"Lrrc8d"	2554	2187	1813	2274	2087	2426	2052	2252	3080	3709	2307	3355
"Lrrc8e"	1	6	0	11	0	1	1	2	5	1	0	5
"Lrrc9"	1	0	0	0	10	3	9	47	24	58	60	25
"Lrrcc1"	461	576	479	609	508	497	369	770	812	514	558	310
"Lrrd1"	3	0	0	0	0	0	1	0	0	0	1	1
"Lrrfip1"	3289	2137	2279	2534	1596	1677	1389	2017	1220	1416	1355	1187
"Lrrfip2"	875	529	582	880	613	884	540	734	1580	1579	1722	1647
"Lrriq1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrriq3"	4	14	26	58	28	12	0	31	14	16	13	4
"Lrriq4"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrk1"	3395	2002	1698	2533	2415	1775	2048	2001	2144	1913	1353	2176
"Lrrk2"	221	197	85	52	29	72	72	148	2759	2612	1661	1881
"Lrrn1"	0	14	0	28	0	21	0	0	0	0	0	0
"Lrrn2"	0	0	0	0	0	46	5	0	0	0	0	0
"Lrrn3"	9	17	7	54	38	19	0	28	0	0	0	0
"Lrrn4"	0	0	0	0	2	0	0	0	0	0	0	0
"Lrrn4cl"	46	32	52	72	42	52	37	40	11	16	2	5
"Lrrtm1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lrrtm2"	32	42	13	26	29	37	26	36	34	32	9	2
"Lrrtm3"	9	1	0	0	6	2	0	0	0	0	0	0
"Lrrtm4"	0	9	0	0	0	0	2	1	0	0	0	0
"Lrsam1"	664	591	739	724	882	1049	947	1043	546	790	599	368
"Lrtm1"	7	20	13	36	7	3	6	10	16	14	11	5
"Lrtm2"	0	0	0	0	0	1	0	0	0	0	0	0
"Lrwd1"	866	570	566	725	736	1178	807	724	595	393	797	546
"Lsamp"	19	31	19	0	7	12	3	6	0	0	0	0
"Lsg1"	898	494	566	631	801	944	711	858	1050	974	1193	705
"Lsm1"	603	382	532	423	452	504	550	433	731	456	737	436
"Lsm10"	707	566	414	366	545	752	584	552	871	842	969	644
"Lsm11"	234	213	211	179	168	259	108	217	236	330	334	216
"Lsm12"	429	313	393	354	329	365	335	386	496	492	559	407
"Lsm14a"	3849	2691	2573	3375	3222	3016	2470	2899	2841	2370	2527	2081
"Lsm14b"	285	250	217	208	192	268	261	281	356	384	363	323
"Lsm2"	419	243	324	273	266	284	262	294	683	709	921	419
"Lsm3"	663	424	609	532	375	416	355	450	830	583	1031	462
"Lsm4"	1334	811	1044	1018	1119	1217	1168	960	1913	1599	2373	1443
"Lsm5"	402	412	403	435	286	221	241	306	1015	429	1071	390
"Lsm6"	906	525	536	703	644	755	558	616	956	686	1064	668
"Lsm7"	391	404	357	393	324	334	333	339	597	500	945	411
"Lsm8"	567	457	403	524	432	494	393	489	961	839	1160	581
"Lsmem1"	0	0	0	0	0	0	0	8	0	0	0	0
"Lsp1"	6828	3726	4015	5887	1348	2234	1236	2141	13651	14332	12148	12490
"Lsr"	520	369	339	558	83	148	117	94	1339	1520	839	1090
"Lss"	341	213	250	383	244	385	403	435	225	283	252	370
"Lst1"	2347	1933	2049	2081	1899	2084	1585	2044	114	72	85	56
"Lta"	0	11	0	0	0	0	0	0	0	0	0	0
"Lta4h"	2258	1502	1893	1696	1597	2125	1631	1849	2392	2406	2541	2101
"Ltb"	9	11	29	9	26	46	32	13	26	8	9	32
"Ltb4r1"	34	23	34	87	15	143	21	38	309	239	83	286
"Ltb4r2"	1	0	0	0	13	5	7	19	6	4	0	1
"Ltbp1"	98	43	42	27	37	16	19	39	37206	53425	30568	42127
"Ltbp2"	3	13	41	99	13	0	46	46	0	0	0	0
"Ltbp3"	505	396	404	441	463	732	743	559	612	532	404	749
"Ltbp4"	202	220	193	592	88	136	195	125	15	12	44	18
"Ltbr"	2960	1838	1625	1843	2686	3392	2844	2489	1598	1855	2088	1806
"Ltc4s"	1401	1387	1354	928	2767	4112	3441	3017	10135	9018	12519	9317
"Ltf"	5	0	22	0	4	14	0	3	0	0	0	0
"Ltk"	0	0	0	2	0	0	0	0	0	0	0	0
"Ltn1"	2009	1696	1709	1856	1646	1894	1720	1947	2722	2621	1985	2447
"Ltv1"	656	585	731	586	625	916	928	726	1306	1282	2042	921
"Luc7l"	1230	937	804	1214	1224	1384	907	1377	1633	1148	1512	1054
"Luc7l2"	614	483	560	567	575	574	508	528	844	552	649	468
"Luc7l3"	578	418	434	423	471	526	486	549	707	592	719	449
"Lum"	517	780	449	86	419	435	256	193	0	0	0	0
"Lurap1"	2	0	0	2	2	28	5	6	6	2	2	4
"Lurap1l"	36	0	11	4	3	0	5	0	0	0	0	0
"Luzp1"	1641	1045	1162	1119	1298	959	927	1230	776	798	607	742
"Luzp2"	7	35	14	6	18	0	0	0	0	0	0	0
"Luzp4"	0	0	0	0	0	0	0	0	0	0	0	0
"Lvrn"	0	0	0	0	0	0	0	0	0	0	0	0
"Lxn"	832	561	554	627	513	680	508	407	671	785	740	703
"Ly6a"	4372	1105	801	2205	2862	836	872	2018	552	22	26	239
"Ly6c1"	25	30	41	36	16	0	4	0	1	0	0	1
"Ly6c2"	95	7	12	68	25	60	7	104	105	2	7	79
"Ly6d"	6	22	59	31	0	11	0	14	89	2	35	57
"Ly6e"	103345	39242	43746	61501	97767	75437	72067	88285	48564	18661	12464	44759
"Ly6f"	0	0	0	0	0	0	0	0	0	0	0	0
"Ly6g5b"	0	0	0	0	0	7	0	0	0	0	0	2
"Ly6g5c"	0	0	0	0	0	0	0	0	0	0	0	0
"Ly6g6c"	0	6	0	0	0	0	1	1	0	0	0	0
"Ly6g6d"	27	5	18	9	7	42	38	31	10	0	0	0
"Ly6g6e"	76	25	0	15	43	75	81	58	0	0	0	0
"Ly6g6f"	0	0	0	5	0	0	0	0	0	0	0	0
"Ly6h"	0	0	1	13	0	0	0	0	0	0	0	0
"Ly6i"	17	4	0	9	2	31	11	150	40	2	0	13
"Ly6k"	0	0	0	0	3	10	0	0	0	2	0	2
"Ly75"	0	0	28	14	0	0	0	0	118	58	28	99
"Ly86"	16903	10151	12498	12839	11660	13091	10642	11694	9934	6232	7535	5711
"Ly9"	3807	2440	2217	2709	1998	2098	1382	1973	827	681	299	585
"Ly96"	793	800	942	837	839	959	749	930	976	781	822	544
"Lyar"	607	371	371	407	371	458	341	458	695	716	806	437
"Lyg1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lyg2"	0	0	0	0	0	0	0	0	0	0	0	0
"Lyl1"	471	479	363	393	469	788	624	552	292	273	265	226
"Lyn"	18810	10845	12376	12849	12170	11838	10788	11648	17427	14580	13657	13370
"Lynx1"	13	26	56	96	36	67	32	33	92	133	69	72
"Lypd1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lypd2"	0	0	0	15	0	3	0	0	0	0	0	0
"Lypd3"	0	0	0	0	0	0	1	0	0	0	0	0
"Lypd4"	0	0	0	0	0	0	0	0	0	0	0	0
"Lypd5"	0	0	0	0	0	0	0	0	0	0	0	0
"Lypd6"	35	11	2	16	0	8	6	10	0	0	0	0
"Lypd6b"	0	15	11	15	2	0	0	0	0	0	0	0
"Lypd8"	0	0	0	0	0	0	0	0	0	0	0	0
"Lypla1"	3083	2480	2393	2306	2002	2592	2237	2118	4404	3559	4161	2838
"Lypla2"	2820	1647	1710	1843	1997	3053	2087	2202	2301	2627	2620	2615
"Lyplal1"	87	89	84	102	93	164	174	113	318	303	485	204
"Lyrm1"	122	50	99	86	90	156	136	137	136	100	152	141
"Lyrm2"	329	336	366	446	341	525	410	477	547	628	775	343
"Lyrm4"	82	32	72	78	104	90	103	118	121	119	141	95
"Lyrm5"	274	470	342	379	341	646	578	490	604	498	659	251
"Lyrm7"	32	24	18	28	32	49	38	26	16	68	105	28
"Lyrm7os"	0	0	0	0	0	0	0	0	0	0	2	0
"Lyrm9"	223	210	241	211	102	109	146	163	218	223	453	208
"Lysmd1"	374	249	162	348	261	370	229	316	191	337	265	198
"Lysmd2"	53	26	10	16	22	16	1	11	22	22	42	25
"Lysmd3"	837	608	982	815	844	926	990	989	1002	657	795	498
"Lysmd4"	171	204	101	108	171	434	199	130	251	356	285	199
"Lyst"	164	217	199	171	245	140	105	274	1038	669	574	785
"Lyve1"	2963	1891	2936	1810	9203	11104	10835	8249	1672	1796	2436	1631
"Lyz1"	16973	20092	13326	22532	16898	25646	15924	10403	79527	143014	184468	76076
"Lyz2"	379393	266720	280583	312212	220581	295809	243624	258375	1120129	1226385	1706851	777836
"Lyzl1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lyzl4"	4	11	14	16	8	38	18	11	0	0	0	0
"Lyzl4os"	0	0	0	0	0	0	0	0	0	0	0	0
"Lyzl6"	0	0	0	0	0	0	0	0	0	0	0	0
"Lzic"	484	468	436	538	599	695	438	702	520	362	642	375
"Lztfl1"	363	407	377	376	421	365	441	405	567	624	566	328
"Lztr1"	1431	967	996	1263	1332	1814	1417	1714	1032	1111	1422	1017
"Lzts1"	0	0	0	0	0	0	0	0	0	0	0	0
"Lzts2"	613	490	518	533	1354	1814	1477	1171	44	57	69	79
"Lzts3"	262	176	134	168	185	358	169	246	30	78	55	104
"M1ap"	90	101	73	90	94	113	89	88	66	94	58	73
"M6pr"	11789	8223	8784	8127	8438	9420	7864	8505	9028	7935	9408	6255
"Maats1"	0	0	0	0	0	0	0	0	0	0	0	0
"Mab21l1"	49	0	0	12	21	10	39	8	0	0	0	0
"Mab21l2"	0	6	0	0	0	0	0	0	0	0	0	0
"Mab21l3"	113	9	60	64	27	33	9	84	5	16	1	20
"Macc1"	0	0	0	0	0	0	0	0	0	0	0	0
"Macf1"	1252	1688	1290	1706	1008	1027	1052	1009	2898	2244	1776	2145
"Macrod1"	339	305	277	248	365	596	446	299	396	355	373	296
"Macrod2"	45	61	60	45	99	96	41	90	164	121	212	101
"Mad1l1"	877	507	612	729	631	1025	751	772	845	925	1083	699
"Mad2l1"	519	222	255	422	268	196	238	286	1085	414	1140	354
"Mad2l1bp"	365	288	288	352	342	373	346	294	654	580	660	358
"Mad2l2"	584	353	372	398	388	469	404	428	644	550	610	441
"Madcam1"	2	0	0	0	0	0	0	7	0	0	2	0
"Madd"	3365	2284	2073	2741	3140	3244	3324	3025	3268	3848	2686	2723
"Maea"	2550	1921	1721	1812	2239	2912	2423	2377	2740	2595	2912	2246
"Mael"	0	0	0	0	1	0	0	5	0	0	0	0
"Maf"	6074	5403	4885	4575	6541	7560	7111	7776	571	657	611	519
"Maf1"	5240	3836	3614	3942	4365	6014	4888	4620	3893	3928	4067	2885
"Mafa"	10	2	0	0	0	0	0	1	1	0	0	0
"Mafb"	13620	10600	10656	11889	9148	12672	11237	10976	14998	18199	14790	20016
"Maff"	465	461	1327	802	655	763	1313	998	15	2	9	3
"Mafg"	899	660	786	806	1178	1625	1314	1371	1080	1254	1244	1086
"Mafk"	2566	1305	2029	2047	2264	1996	2826	2245	1009	1030	848	1030
"Mag"	526	279	353	389	316	377	339	483	134	75	116	59
"Magea1"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea10"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea2"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea3"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea4"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea5"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea6"	0	0	0	0	0	0	0	0	0	0	0	0
"Magea8"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb1"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb16"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb16-ps1"	0	0	0	0	0	3	1	6	0	1	1	1
"Mageb18"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb2"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb3"	0	0	11	0	0	0	0	0	0	0	6	5
"Mageb4"	0	0	0	0	0	0	0	0	0	0	0	0
"Mageb5"	0	0	0	0	0	0	0	0	0	0	0	0
"Maged1"	1403	1236	1235	1427	1734	3015	2648	2335	957	1266	1538	666
"Maged2"	1003	921	846	875	948	1381	1333	1103	260	387	360	179
"Magee1"	166	196	156	124	161	192	148	211	113	255	121	140
"Magee2"	0	0	0	0	0	0	9	0	0	0	0	0
"Magef1"	98	94	74	115	79	98	132	120	92	71	153	55
"Mageh1"	41	40	47	119	18	58	63	75	68	52	37	31
"Magel2"	0	0	0	0	0	0	0	0	0	0	0	0
"Magi1"	34	0	14	6	18	124	88	11	28	14	46	16
"Magi2"	32	29	0	34	3	2	47	10	24	32	27	16
"Magi3"	134	124	47	185	217	232	60	170	218	184	178	186
"Magix"	0	0	0	0	0	0	0	0	0	2	0	0
"Magoh"	438	391	414	304	338	406	429	408	570	475	845	383
"Magohb"	265	179	185	276	156	152	196	164	334	243	317	151
"Magt1"	3258	2567	2655	2275	2153	2801	2388	2627	4227	4582	5177	3731
"Mak"	0	0	0	0	0	0	15	6	0	0	0	0
"Mak16"	728	398	372	568	484	535	418	542	714	592	951	521
"Mal"	8	13	0	7	11	0	13	41	0	0	15	0
"Mal2"	21	96	19	265	44	0	22	39	0	0	0	0
